Features,Labels,Encoded Labels
fixing office internet failure   office static ip assignment error,2.0-3.0,Task3
define hr staff lists screen,10.0-23.0,Task7
new ehr   permission manager,1.0-2.0,Task2
flexihr dotnetnuke website creation,>100,Task9
flexihr dotnetnuke website creation,>100,Task9
flexihr dotnetnuke website creation,>100,Task9
 meeting  update on progress,4.0-7.0,Task5
 meeting  update on progress,4.0-7.0,Task5
 meeting  update on progress,4.0-7.0,Task5
digicert  ssl cert to replace verisign sipsqlsiplcouk cert,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
bni meeting and one  one meeting with  ,3.0-4.0,Task4
 reporting services setup for  syndicates,4.0-7.0,Task5
payroll business solutions ltd meeting,4.0-7.0,Task5
syndicate  snapshot message load,23.0-100.0,Task8
ritscm operational management may ,0.0-1.0,Task1
ehr client  ,7.0-10.0,Task6
ehr client  ,7.0-10.0,Task6
  release   ,23.0-100.0,Task8
  release   ,23.0-100.0,Task8
  release   ,23.0-100.0,Task8
ehr medical issues and accident log,10.0-23.0,Task7
management meeting may  ,1.0-2.0,Task2
installing and migrating to visual studio  and using windows phone ,3.0-4.0,Task4
bni meeting ,2.0-3.0,Task3
problem with flex website on apple safari,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
ehr user icon selection,7.0-10.0,Task6
flexmobile  duplicate customers need to be fixed ,10.0-23.0,Task7
flex mobile  we need to be able to see addresses in the customer lookup window on the sales screen,0.0-1.0,Task1
merging local updates to sipdev,1.0-2.0,Task2
  usm fields requested as required confirmation,0.0-1.0,Task1
flex mobile  daily sales report bug,0.0-1.0,Task1
ehr offline validation structure and mechanisms,10.0-23.0,Task7
flex mobile  if a field is searchable eg supplier then it shouldn’t be able to type in it ,0.0-1.0,Task1
flex mobile  query to find custmers with missing addresses and customers with duplicate addresses,0.0-1.0,Task1
flex mobile  customer search  connectionin date references need to be renamed connectionend,1.0-2.0,Task2
synd  xcs claim closed indicator updated from xchanging snapshot data,1.0-2.0,Task2
flex mobile  sale searchfirst name field not allowing data entrysale imei not allowing scanner entry,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
flex mobile  sales linked to wrong customers  old system data wrong need to fix on sip system,10.0-23.0,Task7
meeting   for an extended lunch,2.0-3.0,Task3
meeting   at  possible business,1.0-2.0,Task2
bni meeting ,2.0-3.0,Task3
duplicate customer entires with duplicate sales linked  need to write update to remove,2.0-3.0,Task3
customer search needs to bring back all customers  not just those linked to connectionshandsets,7.0-10.0,Task6
ehr client  ,4.0-7.0,Task5
  time in liu  collecting inlaws from airport,1.0-2.0,Task2
ehr holiday booking,23.0-100.0,Task8
flex mobile  issue on credit report  product name description blank,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
customer screen  doubleclick linked sales to open,0.0-1.0,Task1
flex mobile  repair searchget not filltering multiple cusotemr contact details correctly,0.0-1.0,Task1
flex mobile  error in sale ids generated jumped forward by ,2.0-3.0,Task3
flex mobile  fund payment type  must add negative sale total invoicesale under fund,10.0-23.0,Task7
bni meeting  and meeting with   from ,4.0-7.0,Task5
flex mobile  sale order number needs to allow text,0.0-1.0,Task1
flex mobile repair docket to allow noncustomer repair entries,10.0-23.0,Task7
internet failure changing ip settings to backup until resolved then putting back when fixed,0.0-1.0,Task1
extended lunch,1.0-2.0,Task2
extended lunch,1.0-2.0,Task2
 support  close aid,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
corrected clarity daily email using corerefuser,1.0-2.0,Task2
corrected clarity daily email using corerefuser,1.0-2.0,Task2
lunch with  ,2.0-3.0,Task3
bni meeting on ,2.0-3.0,Task3
sipsql sql configuration setting tcpip for ssl  encryption,4.0-7.0,Task5
manual update of  kb on sipdev as automatic update failed,0.0-1.0,Task1
 xchanging usm data conversion    ,>100,Task9
 xchanging usm data conversion    ,>100,Task9
flex mobile  documents required to be linked per business object,2.0-3.0,Task3
 sale  handset connection end date needs range to stop error in save,0.0-1.0,Task1
flex mobile  release  tasks    ,7.0-10.0,Task6
test and deploy wsus version  on sipdev for office machines,10.0-23.0,Task7
 quarerly licences,0.0-1.0,Task1
  support query on risk super search and user setup process,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
  licence update,0.0-1.0,Task1
flex mobile  repair contact tel need to populate field from customer details,1.0-2.0,Task2
bni meeting  and  with  ,3.0-4.0,Task4
  message forms,4.0-7.0,Task5
  message forms,4.0-7.0,Task5
flex mobile  document type updates,0.0-1.0,Task1
flex mobile sale invoice fund total to display in item list subtotal column,0.0-1.0,Task1
flex mobile  sale search  allow to search sales on tariffs and tariff terms,2.0-3.0,Task3
flex mobile user query on sale entry error,0.0-1.0,Task1
  restricted claims setup queries,0.0-1.0,Task1
   birthday drinks,10.0-23.0,Task7
   birthday drinks,10.0-23.0,Task7
   birthday drinks,10.0-23.0,Task7
   birthday drinks,10.0-23.0,Task7
flex mobile  credit invoice update to handle fund payment credits,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
flex mobile daily sales invoice  bacs and account totals need to be displayed,0.0-1.0,Task1
sip comparator  get working and tested for use with   test to live update,4.0-7.0,Task5
 contract meeting,1.0-2.0,Task2
  message loading,4.0-7.0,Task5
 contract work,2.0-3.0,Task3
  user testing queries triangle search reporting services,0.0-1.0,Task1
syndicate  live deploymentsetup     ,23.0-100.0,Task8
syndicate  live deploymentsetup     ,23.0-100.0,Task8
  user testing queries triangle search,0.0-1.0,Task1
flex mobile sale search to bring back tariff description,4.0-7.0,Task5
sip management meeting,1.0-2.0,Task2
bni meeting on rd june ,2.0-3.0,Task3
backup tape change ,0.0-1.0,Task1
  deploying loader jobs reports schedules user saved query updates on site,3.0-4.0,Task4
non billable  conversion tasks  syndicate ,10.0-23.0,Task7
flex mobile  diary event setup,4.0-7.0,Task5
  warehouse build test,0.0-1.0,Task1
flex mobile  sale paid date needs to be updatable via super user,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
writing linkex manual for  ,10.0-23.0,Task7
flex mobile new client licence deployment,0.0-1.0,Task1
bni marketing meeting ,2.0-3.0,Task3
flex mobile snp file type required for attachement as document,0.0-1.0,Task1
  release     final test release as at  july ,7.0-10.0,Task6
meeting with   from  about any possibilities,0.0-1.0,Task1
flex mobile phone insurance  is active indicator required,4.0-7.0,Task5
define reminder  question generation mechanisms authorisation,23.0-100.0,Task8
preparing flexs  minute presentation to  this coming wednesday,4.0-7.0,Task5
flex mobile user pc reporting error,1.0-2.0,Task2
flex mobile new licence,0.0-1.0,Task1
 query to zero down dummy usm message transaction count,0.0-1.0,Task1
daily management tasks  july ,7.0-10.0,Task6
  usm dummy messages  transaction count reset to ,0.0-1.0,Task1
flex mobile  customer searchsale and credit invoices to select primary addresses only,2.0-3.0,Task3
 query on diary event super user entry message,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
flex mobile  sale  insurance policy reference number next to sold insurance policy,3.0-4.0,Task4
  running figures book extracts  training,0.0-1.0,Task1
flex mobile sale with neagtive profit warnng message priorcontinuing to save,0.0-1.0,Task1
flex mobile  customer screencashback  switchons not showing mobile noin linked sale list,10.0-23.0,Task7
bni meeting  and meeting with  ,4.0-7.0,Task5
   incomplete diary events owner update,2.0-3.0,Task3
 syndicate  usm june data reconciliation,4.0-7.0,Task5
installing and running new silverlight code for l epc,23.0-100.0,Task8
installing and running new silverlight code for l epc,23.0-100.0,Task8
flex mobile  old handsets under repair marked sold keep returning,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
  new weekly movements report requiredplus extra fields to daily movements report,10.0-23.0,Task7
bni meeting ,3.0-4.0,Task4
meeting with   mgt consultant,1.0-2.0,Task2
 licence update ,2.0-3.0,Task3
 licence update ,2.0-3.0,Task3
flex mobile support  query on how to  delete docs and user issues with reportsconnection,2.0-3.0,Task3
syndicate  explanation of eur settccy usms and xchanging ccs currency conversion service,4.0-7.0,Task5
scms sql  reports   setup studio  machine to createupdate scms reports,7.0-10.0,Task6
scms sql  reports   setup studio  machine to createupdate scms reports,7.0-10.0,Task6
view holiday bookings,4.0-7.0,Task5
backup tape change ,1.0-2.0,Task2
sip licence deployment for   conversion to sql,0.0-1.0,Task1
flex mobile  sales dont seem to update the commitment date within the customer screen ,1.0-2.0,Task2
define staff personnel holiday tab,10.0-23.0,Task7
bni meeting and preperation of  secs,3.0-4.0,Task4
meeting with   to discuss potential work with silverlight and a deaf database,1.0-2.0,Task2
 request for database diagrams for scms,2.0-3.0,Task3
scms report no of synd movements in month,1.0-2.0,Task2
sip office new front door sign,0.0-1.0,Task1
 s birthday drinks,2.0-3.0,Task3
 s birthday drinks,2.0-3.0,Task3
 s birthday drinks,2.0-3.0,Task3
meeting   and getting demo to show ,3.0-4.0,Task4
backup tape change ,1.0-2.0,Task2
 triangle and figures book changes,23.0-100.0,Task8
 licence update jul,1.0-2.0,Task2
bni meeting and  to  meeting with  ,3.0-4.0,Task4
refresher on how scms statistics work  using them,7.0-10.0,Task6
      leaving doo,2.0-3.0,Task3
 live deployment of scms for dh syndicates    ,7.0-10.0,Task6
backup tape change ,1.0-2.0,Task2
backed up system on to maxtor,0.0-1.0,Task1
bni meeting th aug ,2.0-3.0,Task3
 overiew on period close object,1.0-2.0,Task2
meeting   concerning a version of linkex for ,2.0-3.0,Task3
daily management tasks  august ,10.0-23.0,Task7
getting   setup,2.0-3.0,Task3
dotnetnuke setup and learning,23.0-100.0,Task8
dotnetnuke setup and learning,23.0-100.0,Task8
backup tape change ,1.0-2.0,Task2
test warehouse  setup  synd ,10.0-23.0,Task7
flex mobile  no handset description on credit report,0.0-1.0,Task1
responding to emailsupdating sip tasks for flex mobile and  ,4.0-7.0,Task5
  dailyweekly report   bug reported,1.0-2.0,Task2
 server hardware error resolution,3.0-4.0,Task4
flex mobile  latest developments checkin release arrangements and notes,4.0-7.0,Task5
flex mobile  latest developments checkin release arrangements and notes,4.0-7.0,Task5
flex mobile  sale search  credit id parameter search required,7.0-10.0,Task6
flex mobile  handset booking in   updates,23.0-100.0,Task8
power outage email catchup,1.0-2.0,Task2
report server  setup locally on laptop,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
ehr various bug fixes,1.0-2.0,Task2
flex mobile  meeting with   new manager,2.0-3.0,Task3
diary events  updates for ,3.0-4.0,Task4
diary events  updates for ,4.0-7.0,Task5
bni meeting  aug ,3.0-4.0,Task4
spare router dropoff,1.0-2.0,Task2
  aid   on query regarding scm exchange rate calculations,2.0-3.0,Task3
flex mobile  updated task list with updates from yesterdays meeting and sent to  ,0.0-1.0,Task1
ehr bank holiday reference data,10.0-23.0,Task7
   s query on scm super search as at and accounting month figures,3.0-4.0,Task4
flex mobile  looking into diary event option per search and entry screen and other options,23.0-100.0,Task8
new sip website based on dotnetnuke,23.0-100.0,Task8
new sip website based on dotnetnuke,23.0-100.0,Task8
define conversion database for  mapping,10.0-23.0,Task7
   s query on scms  extract for elgar ri system,4.0-7.0,Task5
flex mobile  sending licence and deployment instructions,0.0-1.0,Task1
embed flex staff manager into a dnn web site,10.0-23.0,Task7
embed flex staff manager into a dnn web site,10.0-23.0,Task7
backup tape change ,1.0-2.0,Task2
  licence update,0.0-1.0,Task1
bni meeting and  to  with  ,4.0-7.0,Task5
sip v code gen  getting linking mechanism to work,4.0-7.0,Task5
staff manager book sickness,23.0-100.0,Task8
  rate of exchange update  load to test if okd by users load to live,2.0-3.0,Task3
  rate of exchange update  load to test if okd by users load to live,2.0-3.0,Task3
sip data server bug fix,0.0-1.0,Task1
flex mobile  update sipdev with latest local updates,2.0-3.0,Task3
backup tape change ,1.0-2.0,Task2
flex mobile  handset sold indicator reset query,0.0-1.0,Task1
   risk super search taking too longtiming out,3.0-4.0,Task4
  risk super search  new search parameter required,0.0-1.0,Task1
 support  aid  monthend close,4.0-7.0,Task5
 support  aid  monthend close,4.0-7.0,Task5
bni meeting and  with  ,4.0-7.0,Task5
dnn advanced login control,4.0-7.0,Task5
dnn skinning,10.0-23.0,Task7
daily management tasks  september ,10.0-23.0,Task7
sip invoices,0.0-1.0,Task1
 licence upload and test,0.0-1.0,Task1
bni training day and flex is now a committee member,4.0-7.0,Task5
laptop virus software switchover install microsoft security essentials,0.0-1.0,Task1
flex mobile  query on sale subsystem,10.0-23.0,Task7
 data conversion meeting,3.0-4.0,Task4
   daily movement pa issue reported,1.0-2.0,Task2
backup tape change ,1.0-2.0,Task2
 warehousetransaction dbs backup to external hdd before server battery change,2.0-3.0,Task3
meeting     re   data warehouse project,1.0-2.0,Task2
dnn custom faq module,23.0-100.0,Task8
bni meeting ,2.0-3.0,Task3
dnn custom silverlight container module,10.0-23.0,Task7
  reports logo updates  query,0.0-1.0,Task1
 warehouse  archive,10.0-23.0,Task7
flex new ehr meeting,4.0-7.0,Task5
flex new ehr meeting,4.0-7.0,Task5
discussion of new kit for flex web based siliverlight applications,0.0-1.0,Task1
discussion of new kit for flex web based siliverlight applications,0.0-1.0,Task1
testing  demo,4.0-7.0,Task5
  diary event support,0.0-1.0,Task1
flex mobile  accessory id  request to have it display on detail and search screens,2.0-3.0,Task3
  report logo query,0.0-1.0,Task1
backup tape change ,1.0-2.0,Task2
sip staff management meeting,7.0-10.0,Task6
sip staff management meeting,7.0-10.0,Task6
sip staff management meeting,7.0-10.0,Task6
sip staff management meeting,7.0-10.0,Task6
sip staff management meeting,7.0-10.0,Task6
the harbour project meeting,1.0-2.0,Task2
bni meeting on ,2.0-3.0,Task3
meeting at  with    head of department,1.0-2.0,Task2
looking into lloyds pricing reports,4.0-7.0,Task5
 scm  usm data extract,1.0-2.0,Task2
new kit for flex web based siliverlight applications,23.0-100.0,Task8
investigate silverlight freezing web browser,7.0-10.0,Task6
project   software requirements  costings,1.0-2.0,Task2
 internet failure  carrying out switch over to nd backup supplier,0.0-1.0,Task1
